Pressure,Temperature,x1,y1
523.9089128626217,343.15,0.94,0.9751539501855467
526.5289557402573,343.15,0.95,0.9794289906314334
529.2647785128371,343.15,0.96,0.9836531380951914
532.1169499652847,343.15,0.97,0.9878242793401327
535.086068098958,343.15,0.98,0.9919403984152048
538.1727593615066,343.15,0.99,0.9959995779145403
541.1229196724612,344.15,0.92,0.9664690196854459
543.6135001076119,344.15,0.93,0.9708389223635663
546.2240556431586,344.15,0.94,0.9751621975535292
548.9551104497866,344.15,0.95,0.9794365343925793
551.8072211137631,344.15,0.96,0.9836597169725874
554.7809757537142,344.15,0.97,0.98782962606729
557.8769931692857,344.15,0.98,0.9919442406213435
561.0959220208579,344.15,0.99,0.9960016390000989
564.0185346649137,345.15,0.92,0.9664777837210069
566.6131485070907,345.15,0.93,0.9708474930521147
569.3331800758463,345.15,0.94,0.9751703302608784
572.1791700868639,345.15,0.95,0.979443976810865
575.1516933105495,345.15,0.96,0.983666210014242
578.2513576310712,345.15,0.97,0.9878349047539088
581.4788031398385,345.15,0.98,0.9919480349649864
584.834701262467,345.15,0.99,0.9960036748746137
587.7229157649739,346.15,0.92,0.9664864147002763
590.4251811463972,346.15,0.93,0.9708559397720534
593.2585137033808,346.15,0.94,0.9751783500436751
596.2234709934105,346.15,0.95,0.9794513194092842
599.3206463374136,346.15,0.96,0.9836726185020239
602.5506678180589,346.15,0.97,0.9878401164108495
605.9141973151944,346.15,0.98,0.9919517821542518
609.4119295773535,346.15,0.99,0.996005685909869
612.2585175113766,347.15,0.92,0.9664949146710117
615.0721509817724,347.15,0.93,0.970864264411675
618.0227141280587,347.15,0.94,0.9751862586067581
621.1107816424627,347.15,0.95,0.9794585636834556
624.3369657613252,347.15,0.96,0.9836789436947729
627.7019151995311,347.15,0.97,0.9878452620308139
631.2063141249383,347.15,0.98,0.9919554828845314
634.8508811716038,347.15,0.99,0.9960076724709606
637.6482241949643,348.15,0.92,0.9665032856440832
640.577042544686,348.15,0.93,0.9708724688253408
643.6488724828702,348.15,0.94,0.9751940576243875
646.8643061250732,348.15,0.95,0.979465711102205
650.2239749860236,348.15,0.96,0.9836851868287938
653.7285488469275,348.15,0.97,0.9878503425887339
657.3787346658022,348.15,0.98,0.9919591378387635
661.1752755294885,348.15,0.99,0.9960096349164398
663.9153532374615,349.15,0.92,0.9665115295942529
666.9632753334538,349.15,0.93,0.9708805548342
670.1605168372831,349.15,0.94,0.9752017487408936
673.5076875715714,349.15,0.95,0.979472763108134
677.005438690051,349.15,0.96,0.983691349118333
680.6544614743606,349.15,0.97,0.9878553590421488
684.4554861770728,349.15,0.98,0.991962747687698
688.4092809094487,349.15,0.99,0.9960115735984533
691.0836585043323,350.15,0.92,0.9665196484609361
694.2547071386388,350.15,0.93,0.9708885242268882
697.5816155364937,350.15,0.94,0.9752093335713078
701.0650115059557,350.15,0.95,0.9794797211181739
704.7055661975627,350.15,0.96,0.9836974317560462
708.5039928271068,350.15,0.97,0.9878603123315748
712.4610454480179,350.15,0.98,0.9919663130901563
716.5775177716939,350.15,0.99,0.9960134888628795
719.1773335505894,351.15,0.92,0.9665276441489447
722.4756373010969,351.15,0.93,0.9708963787602128
